Work Program Group,Work Program,Unit,Fiscal Year,"Bank Budget (BB) (US$, Millions)","All Funds (US$, Millions)",Notes
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2015,311.3,441.5,
Client Engagement,Country Engagement,Africa,2015,167.8,355.5,
Client Engagement,Country Engagement,East Asia & Pacific,2015,80.4,197.4,
Client Engagement,Country Engagement,Europe & Central Asia,2015,76.6,137.8,
Client Engagement,Country Engagement,Latin America & Caribbean,2015,86.3,134.6,
Client Engagement,Country Engagement,Middle East & North Africa,2015,49.0,95.0,
Client Engagement,Country Engagement,Other Operational Units' Allocations,2015,0.0,0.0,
Client Engagement,Country Engagement,South Asia,2015,77.6,154.6,
Client Engagement,Global Engagement,Global Engagement,2015,84.9,290.4,
Funded by External Funds - All Funds,Funded by External Funds - All Funds,Funded by External Funds - All Funds,2015,-31.3,-1242.7,"For Bank Budget columns, this line only shows reimbursables."
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2015,129.0,174.0,
"Institutional, Governance and Administrative Services",Administrative Services,Human Resources,2015,56.6,72.8,
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2015,230.9,273.7,
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2015,1.5,2.1,
"Institutional, Governance and Administrative Services",Governance Services,Boards,2015,86.8,87.5,"Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services",Governance Services,Conflict Resolution System,2015,3.6,4.9,
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2015,14.1,14.1,
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2015,7.4,10.0,
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2015,26.5,35.1,
"Institutional, Governance and Administrative Services",Governance Services,Inspection Panel,2015,0.0,0.0,Inspection Panel previously captured under Boards
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2015,14.4,18.6,
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2015,8.7,8.7,"In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2015,3.7,5.2,
"Institutional, Governance and Administrative Services",Governance Services,"Office of Managing Director, Development Policy And Partnerships",2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2015,1.5,1.5,
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2015,7.5,7.5,
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2015,1.5,1.5,
"Institutional, Governance and Administrative Services",Institutional Services,"Budget, Performance & Strategy",2015,76.9,76.9,
"Institutional, Governance and Administrative Services",Institutional Services,Chief Risk Office,2015,11.6,13.0,
"Institutional, Governance and Administrative Services",Institutional Services,CMP-Data Privacy Office,2015,0.0,0.0,"In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services",Institutional Services,Development Economics,2015,52.4,87.2,
"Institutional, Governance and Administrative Services",Institutional Services,Development Finance,2015,15.7,36.5,Prior to FY16 Development Finance was known as Concessional Finance & Global Partnerships.
"Institutional, Governance and Administrative Services",Institutional Services,External & Corporate Relations,2015,43.9,54.9,
"Institutional, Governance and Administrative Services",Institutional Services,Global Environment Fund,2015,0.0,0.0,The Global Environment Fund only receives funding from External Funds (EF).
"Institutional, Governance and Administrative Services",Institutional Services,International Centre for Settlement of Investment Disputes,2015,2.2,2.2,World Bank's contribution to the funding for the International Centre for Settlement of Investment Disputes.
"Institutional, Governance and Administrative Services",Institutional Services,"Leadership, Learning & Innovation",2015,41.3,50.7,"In FY17, the Learning, Leadership, & Innovation VPU was integrated into other Operational and IG&A units."
"Institutional, Governance and Administrative Services",Institutional Services,Legal Services,2015,27.2,32.6,
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2015,42.4,43.2,
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2015,0.0,0.0,Reflects the move of Corporate Procurement from BPS.
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2015,24.4,76.2,
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2015,31.1,46.4,
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2015,47.0,47.0,
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2015,32.8,32.8,
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2015,5.0,5.0,
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2015,0.3,0.3,
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2015,25.0,25.0,
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2015,0.0,0.0,
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2015,190.5,211.2,"In FY17, Global Practice line items were separated into three separate Global Practice units: Sustainable Development, Equitable Growth, Finance and Institutions, and Human Development, plus one additional unit for Other Operational Support."
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2015,4.5,27.1,Prior to FY18 Global Themes were known as Global Practice/Cross Cutting Solutions Areas.
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2015,0.0,0.0,
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2015,0.0,0.0,"In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2015,0.0,0.0,FY21 onwards the Program & Practice Management budgets in the Other Operations Support Unit are shared by both the Regions  and Practice Groups.
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2015,0.0,0.0,
Program and Practice Management,Regions Program & Practice Management,Africa,2015,133.8,140.1,
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2015,60.1,61.4,
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2015,59.4,62.1,
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2015,56.7,57.1,
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2015,38.4,47.6,
Program and Practice Management,Regions Program & Practice Management,South Asia,2015,57.7,59.4,
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2016,391.7,454.7,
Client Engagement,Country Engagement,Africa,2016,188.5,366.1,
Client Engagement,Country Engagement,East Asia & Pacific,2016,80.3,186.3,
Client Engagement,Country Engagement,Europe & Central Asia,2016,74.6,144.2,
Client Engagement,Country Engagement,Latin America & Caribbean,2016,85.6,144.0,
Client Engagement,Country Engagement,Middle East & North Africa,2016,49.8,120.5,
Client Engagement,Country Engagement,Other Operational Units' Allocations,2016,0.0,0.0,
Client Engagement,Country Engagement,South Asia,2016,82.6,171.0,
Client Engagement,Global Engagement,Global Engagement,2016,77.7,244.0,
Funded by External Funds - All Funds,Funded by External Funds - All Funds,Funded by External Funds - All Funds,2016,-163.8,-1338.7,"For Bank Budget columns, this line only shows reimbursables."
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2016,130.9,175.7,
"Institutional, Governance and Administrative Services",Administrative Services,Health and Safety Development,2016,0.0,0.0,"In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services",Administrative Services,Human Resources,2016,47.9,60.9,
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2016,232.8,278.6,
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2016,1.6,2.1,
"Institutional, Governance and Administrative Services",Governance Services,Boards,2016,90.1,90.1,"Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services",Governance Services,Conflict Resolution System,2016,3.7,5.0,
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2016,15.5,16.5,
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2016,7.5,10.2,
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2016,26.4,35.0,
"Institutional, Governance and Administrative Services",Governance Services,Inspection Panel,2016,0.0,0.0,Inspection Panel previously captured under Boards
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2016,18.4,18.6,
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2016,9.7,9.7,"In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2016,4.5,6.1,
"Institutional, Governance and Administrative Services",Governance Services,"Office of Managing Director, Development Policy And Partnerships",2016,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2016,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2016,1.5,1.5,
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2016,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2016,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2016,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2016,7.7,7.7,
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2016,1.6,1.6,
"Institutional, Governance and Administrative Services",Institutional Services,"Budget, Performance & Strategy",2016,74.5,77.8,
"Institutional, Governance and Administrative Services",Institutional Services,Chief Risk Office,2016,12.3,13.2,
"Institutional, Governance and Administrative Services",Institutional Services,CMP-Data Privacy Office,2016,0.0,0.0,"In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services",Institutional Services,Development Economics,2016,48.9,87.1,
"Institutional, Governance and Administrative Services",Institutional Services,Development Finance,2016,20.0,58.1,Prior to FY16 Development Finance was known as Concessional Finance & Global Partnerships.
"Institutional, Governance and Administrative Services",Institutional Services,External & Corporate Relations,2016,44.4,57.2,
"Institutional, Governance and Administrative Services",Institutional Services,Global Environment Fund,2016,0.0,35.0,The Global Environment Fund only receives funding from External Funds (EF).
"Institutional, Governance and Administrative Services",Institutional Services,International Centre for Settlement of Investment Disputes,2016,2.2,2.2,World Bank's contribution to the funding for the International Centre for Settlement of Investment Disputes.
"Institutional, Governance and Administrative Services",Institutional Services,"Leadership, Learning & Innovation",2016,47.6,64.8,"In FY17, the Learning, Leadership, & Innovation VPU was integrated into other Operational and IG&A units."
"Institutional, Governance and Administrative Services",Institutional Services,Legal Services,2016,30.5,32.4,
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2016,43.1,44.1,
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2016,0.0,0.0,Reflects the move of Corporate Procurement from BPS.
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2016,61.8,76.8,
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2016,37.6,44.6,
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2016,30.0,30.0,
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2016,12.0,12.0,
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2016,5.0,5.0,
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2016,0.0,0.0,
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2016,21.0,21.0,
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2016,0.0,0.0,
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2016,209.9,258.9,"In FY17, Global Practice line items were separated into three separate Global Practice units: Sustainable Development, Equitable Growth, Finance and Institutions, and Human Development, plus one additional unit for Other Operational Support."
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2016,3.9,31.3,Prior to FY18 Global Themes were known as Global Practice/Cross Cutting Solutions Areas.
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2016,0.0,0.0,
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2016,0.0,0.0,"In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2016,0.0,0.0,FY21 onwards the Program & Practice Management budgets in the Other Operations Support Unit are shared by both the Regions  and Practice Groups.
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2016,0.0,0.0,
Program and Practice Management,Regions Program & Practice Management,Africa,2016,113.4,115.3,
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2016,54.6,56.9,
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2016,55.0,57.3,
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2016,50.7,51.6,
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2016,34.1,35.0,
Program and Practice Management,Regions Program & Practice Management,South Asia,2016,50.6,51.3,
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2017,406.6,417.9,
Client Engagement,Country Engagement,Africa,2017,207.0,402.7,
Client Engagement,Country Engagement,East Asia & Pacific,2017,83.9,180.4,
Client Engagement,Country Engagement,Europe & Central Asia,2017,77.6,153.9,
Client Engagement,Country Engagement,Latin America & Caribbean,2017,88.7,142.9,
Client Engagement,Country Engagement,Middle East & North Africa,2017,50.9,149.1,
Client Engagement,Country Engagement,Other Operational Units' Allocations,2017,0.0,0.0,
Client Engagement,Country Engagement,South Asia,2017,93.2,189.4,
Client Engagement,Global Engagement,Global Engagement,2017,72.9,246.8,
Funded by External Funds - All Funds,Funded by External Funds - All Funds,Funded by External Funds - All Funds,2017,-184.0,-1347.5,"For Bank Budget columns, this line only shows reimbursables."
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2017,138.4,176.4,
"Institutional, Governance and Administrative Services",Administrative Services,Health and Safety Development,2017,0.0,0.0,"In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services",Administrative Services,Human Resources,2017,57.3,70.1,
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2017,224.6,277.1,
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2017,1.7,2.2,
"Institutional, Governance and Administrative Services",Governance Services,Boards,2017,91.7,91.7,"Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services",Governance Services,Conflict Resolution System,2017,4.3,6.9,
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2017,15.5,16.7,
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2017,7.7,10.2,
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2017,26.3,34.9,
"Institutional, Governance and Administrative Services",Governance Services,Inspection Panel,2017,0.0,0.0,Inspection Panel previously captured under Boards
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2017,18.5,18.6,
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2017,0.0,0.0,"In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2017,6.6,8.9,
"Institutional, Governance and Administrative Services",Governance Services,"Office of Managing Director, Development Policy And Partnerships",2017,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2017,5.6,5.6,
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2017,1.6,1.6,
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2017,5.4,5.4,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2017,2.4,2.4,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2017,2.9,2.9,
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2017,7.0,7.0,
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2017,1.7,1.7,
"Institutional, Governance and Administrative Services",Institutional Services,"Budget, Performance & Strategy",2017,68.8,68.8,
"Institutional, Governance and Administrative Services",Institutional Services,Chief Risk Office,2017,13.4,14.1,
"Institutional, Governance and Administrative Services",Institutional Services,CMP-Data Privacy Office,2017,0.0,0.0,"In FY20, there were three new units: Infrastructure, CMP -Data Privacy Office & Health and Safety Development"
"Institutional, Governance and Administrative Services",Institutional Services,Development Economics,2017,47.3,94.3,
"Institutional, Governance and Administrative Services",Institutional Services,Development Finance,2017,22.5,59.5,Prior to FY16 Development Finance was known as Concessional Finance & Global Partnerships.
"Institutional, Governance and Administrative Services",Institutional Services,External & Corporate Relations,2017,34.8,37.0,
"Institutional, Governance and Administrative Services",Institutional Services,Global Environment Fund,2017,0.0,32.0,The Global Environment Fund only receives funding from External Funds (EF).
"Institutional, Governance and Administrative Services",Institutional Services,International Centre for Settlement of Investment Disputes,2017,0.0,0.0,World Bank's contribution to the funding for the International Centre for Settlement of Investment Disputes.
"Institutional, Governance and Administrative Services",Institutional Services,"Leadership, Learning & Innovation",2017,0.0,0.0,"In FY17, the Learning, Leadership, & Innovation VPU was integrated into other Operational and IG&A units."
"Institutional, Governance and Administrative Services",Institutional Services,Legal Services,2017,32.0,33.9,
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2017,45.4,46.1,
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2017,0.0,0.0,Reflects the move of Corporate Procurement from BPS.
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2017,59.4,75.4,
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2017,38.5,44.2,
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2017,30.0,30.0,
